,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
0,11.0,0.096,Bridgemi,"said, one, time, like, day, say, peopl, work, also, year",0.346
1,18.0,0.103,Bridgemi,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.393
2,2.0,0.071,Bridgemi,"say, said, time, year, peopl, vaccin, first, like, also, work",0.442
3,10.0,0.039,Bridgemi,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.312
4,10.0,0.128,Bridgemi,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.377
5,11.0,0.113,Bridgemi,"said, one, time, like, day, say, peopl, work, also, year",0.394
6,11.0,0.083,Bridgemi,"said, one, time, like, day, say, peopl, work, also, year",0.376
7,2.0,0.096,Bridgemi,"say, said, time, year, peopl, vaccin, first, like, also, work",0.397
8,8.0,0.077,Bridgemi,"said, say, one, case, also, n’t, day, new, time, get",0.411
9,8.0,0.098,Bridgemi,"said, say, one, case, also, n’t, day, new, time, get",0.366
10,5.0,0.115,Bridgemi,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.377
11,2.0,0.049,Bridgemi,"say, said, time, year, peopl, vaccin, first, like, also, work",0.385
12,7.0,0.075,Bridgemi,"said, say, peopl, year, also, get, work, one, school, two",0.357
13,2.0,0.185,Bridgemi,"say, said, time, year, peopl, vaccin, first, like, also, work",0.376
14,0.0,0.046,Bridgemi,"said, peopl, say, vaccin, one, like, time, get, day, new",0.354
15,15.0,-0.027,Bridgemi,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.434
16,15.0,0.429,Bridgemi,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.392
17,8.0,0.263,Bridgemi,"said, say, one, case, also, n’t, day, new, time, get",0.463
18,11.0,0.21,Bridgemi,"said, one, time, like, day, say, peopl, work, also, year",0.51
19,13.0,0.2,Bridgemi,"said, vaccin, say, one, like, also, week, peopl, use, year",0.393
20,6.0,0.048,Bridgemi,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.394
21,10.0,0.053,Bridgemi,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.302
22,15.0,0.153,Bridgemi,"said, vaccin, get, say, peopl, day, covid-19, year, would, time",0.41
23,11.0,0.075,Bridgemi,"said, one, time, like, day, say, peopl, work, also, year",0.466
24,5.0,0.074,Bridgemi,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.476
25,12.0,0.162,Bridgemi,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.442
26,14.0,0.054,Bridgemi,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.465
27,13.0,0.115,Bridgemi,"said, vaccin, say, one, like, also, week, peopl, use, year",0.391
28,7.0,0.075,BBC,"said, say, peopl, year, also, get, work, one, school, two",0.825
29,11.0,0.072,BBC,"said, one, time, like, day, say, peopl, work, also, year",0.311
30,1.0,-0.035,BBC,"said, say, peopl, year, one, time, day, first, like, get",0.528
31,5.0,0.167,BBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.333
32,14.0,0.005,BBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.408
33,2.0,0.083,BBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.276
34,12.0,0.0,BBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.5
35,11.0,0.333,BBC,"said, one, time, like, day, say, peopl, work, also, year",0.333
36,14.0,-0.287,BBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.694
37,8.0,-0.078,BBC,"said, say, one, case, also, n’t, day, new, time, get",0.344
38,6.0,0.25,BBC,"said, like, n’t, one, would, peopl, year, say, get, covid-19",0.25
39,3.0,-0.097,BBC,"said, vaccin, say, peopl, new, report, time, one, also, year",0.264
40,16.0,0.159,BBC,"said, vaccin, one, peopl, say, get, new, day, time, case",0.341
41,18.0,-0.033,BBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.617
42,17.0,0.0,BBC,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.0
43,7.0,0.14,BBC,"said, say, peopl, year, also, get, work, one, school, two",0.435
44,5.0,0.223,BBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.446
45,7.0,0.057,BBC,"said, say, peopl, year, also, get, work, one, school, two",0.78
46,3.0,0.119,BBC,"said, vaccin, say, peopl, new, report, time, one, also, year",0.442
47,12.0,-0.08,BBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.313
48,8.0,0.0,BBC,"said, say, one, case, also, n’t, day, new, time, get",0.25
49,5.0,-0.019,BBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.362
50,11.0,0.5,BBC,"said, one, time, like, day, say, peopl, work, also, year",0.5
51,3.0,0.405,BBC,"said, vaccin, say, peopl, new, report, time, one, also, year",0.577
52,11.0,0.106,BBC,"said, one, time, like, day, say, peopl, work, also, year",0.539
53,2.0,0.0,BBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.0
54,5.0,-0.025,BBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.37
55,10.0,0.075,BBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.142
56,18.0,0.0,BBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.0
57,2.0,0.333,BBC,"say, said, time, year, peopl, vaccin, first, like, also, work",0.504
58,5.0,-0.25,BBC,"said, one, n’t, year, also, time, would, vaccin, peopl, get",0.4
59,10.0,0.0,BBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.0
60,17.0,0.0,BBC,"said, one, peopl, report, case, say, use, includ, time, vaccin",0.0
61,14.0,0.25,BBC,"said, vaccin, covid-19, one, peopl, case, report, work, also, say",0.25
62,1.0,0.167,BBC,"said, say, peopl, year, one, time, day, first, like, get",0.5
63,8.0,0.123,BBC,"said, say, one, case, also, n’t, day, new, time, get",0.309
64,18.0,0.275,BBC,"said, say, peopl, year, like, get, time, n’t, covid-19, one",0.375
65,11.0,0.25,BBC,"said, one, time, like, day, say, peopl, work, also, year",0.25
66,9.0,0.5,BBC,"said, peopl, year, vaccin, like, first, also, time, back, one",0.267
67,11.0,0.286,BBC,"said, one, time, like, day, say, peopl, work, also, year",0.602
68,10.0,0.4,BBC,"said, say, peopl, year, also, vaccin, one, make, like, servic",0.4
69,12.0,-0.025,BBC,"peopl, also, say, said, one, covid-19, vaccin, time, get, work",0.125
